_index,_ayas,_start,_name,_tname,_ename,_type,_order,_rukus
85,22,5909,البروج,Al-Burooj,The Constellations,Meccan,27,1
86,17,5931,الطارق,At-Taariq,The Morning Star,Meccan,36,1
87,19,5948,الأعلى,Al-A'laa,The Most High,Meccan,8,1
88,26,5967,الغاشية,Al-Ghaashiya,The Overwhelming,Meccan,68,1
89,30,5993,الفجر,Al-Fajr,The Dawn,Meccan,10,1
90,20,6023,البلد,Al-Balad,The City,Meccan,35,1
91,15,6043,الشمس,Ash-Shams,The Sun,Meccan,26,1
92,21,6058,الليل,Al-Lail,The Night,Meccan,9,1
93,11,6079,الضحى,Ad-Dhuhaa,The Morning Hours,Meccan,11,1
94,8,6090,الشرح,Ash-Sharh,The Consolation,Meccan,12,1
95,8,6098,التين,At-Tin,The Fig,Meccan,28,1
96,19,6106,العلق,Al-Alaq,The Clot,Meccan,1,1
97,5,6125,القدر,Al-Qadr,"The Power, Fate",Meccan,25,1
98,8,6130,البينة,Al-Bayyina,The Evidence,Medinan,100,1
99,8,6138,الزلزلة,Az-Zalzala,The Earthquake,Medinan,93,1
100,11,6146,العاديات,Al-Aadiyaat,The Chargers,Meccan,14,1
101,11,6157,القارعة,Al-Qaari'a,The Calamity,Meccan,30,1
102,8,6168,التكاثر,At-Takaathur,Competition,Meccan,16,1
103,3,6176,العصر,Al-Asr,"The Declining Day, Epoch",Meccan,13,1
104,9,6179,الهمزة,Al-Humaza,The Traducer,Meccan,32,1
105,5,6188,الفيل,Al-Fil,The Elephant,Meccan,19,1
106,4,6193,قريش,Quraish,Quraysh,Meccan,29,1
107,7,6197,الماعون,Al-Maa'un,Almsgiving,Meccan,17,1
108,3,6204,الكوثر,Al-Kawthar,Abundance,Meccan,15,1
109,6,6207,الكافرون,Al-Kaafiroon,The Disbelievers,Meccan,18,1
110,3,6213,النصر,An-Nasr,Divine Support,Medinan,114,1
111,5,6216,المسد,Al-Masad,The Palm Fibre,Meccan,6,1
112,4,6221,الإخلاص,Al-Ikhlaas,Sincerity,Meccan,22,1
113,5,6225,الفلق,Al-Falaq,The Dawn,Meccan,20,1
114,6,6230,الناس,An-Naas,Mankind,Meccan,21,1
